SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-5551,1.0,μF,50V,,MULTICOMP,Radial,th,0.27,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/1uf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5553,0.22,μF,50V,,MULTICOMP,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-22-uf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5556,10.0,pF,50V,,MULTICOMP,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/10-pf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5554,0.1,μF,100V,,MULTICOMP,Radial,th,0.75,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-1-uf-100v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5552,33.0,pF,50V,,MULTICOMP,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/33pf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5549,22.0,pF,50V,,MULTICOMP,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/22pf-50v-multilayer-monolithic-ceramic-capacitor-2-54-mm-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5558,2200.0,pF,50V,,MULTICOMP,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/2200-pf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5560,0.022,μF,50V,,VISHAY,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/22000-pf-50v-multilayer-monolithic-ceramic-capacitor-vishay.html,MLCC (Multilayer Ceramic Capacitor)
A-5559,56.0,pF,50V,,VISHAY,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/56pf-50v-multilayer-monolithic-ceramic-capacitor-vishay.html,MLCC (Multilayer Ceramic Capacitor)
A-5555,0.47,μF,50V,,MULTICOMP,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-47-uf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-5550,0.33,μF,50V,,MULTICOMP,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/0-33-uf-50v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-7699,0.047,μF,50V,,SUNTAN,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/y5v-0-047uf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1341,10.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/10pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1393,15.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/15pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1395,22.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/22pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1409,27.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/27pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6844,30.0,pF,50V,,Get It Fast,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/30pf-50v-multilayer-ceramic-capacitor-pkg-of-10-aec.html,MLCC (Multilayer Ceramic Capacitor)
A-1426,33.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/33pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1352,47.0,pF,50V,,Tayda Electronics,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/47pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6064,47.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/47-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-6867,47.0,pF,100V,,MULTICOMP PRO,Radial,th,0.11,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/47-pf-100v-multilayer-monolithic-ceramic-capacitor-multicomp-pro.html,MLCC (Multilayer Ceramic Capacitor)
A-6868,47.0,pF,100V,,VISHAY,Radial,th,0.15,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/47-pf-100v-multilayer-monolithic-ceramic-capacitor-vishay-axial.html,MLCC (Multilayer Ceramic Capacitor)
A-5557,47.0,pF,100V,,MULTICOMP,Radial,th,0.11,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/47-pf-100v-multilayer-monolithic-ceramic-capacitor-multicomp.html,MLCC (Multilayer Ceramic Capacitor)
A-1355,56.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/56pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1429,68.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/68pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1434,82.0,pF,50V,,AEC,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/82pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1359,100.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/100pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6063,100.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/100-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-5422,100.0,pF,50V,,VISHAY,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/100pf-50v-multilayer-monolithic-ceramic-capacitor-2-54mm-vishay.html,MLCC (Multilayer Ceramic Capacitor)
A-1435,150.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/150pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6425,150.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/150-pf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-1438,220.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/220pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6065,220.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/220-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
A-7056,220.0,pF,50V,,MULTICOMP,Radial,th,0.059,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/220-pf-50v-multilayer-monolithic-ceramic-capacitor-c0g.html,MLCC (Multilayer Ceramic Capacitor)
A-1442,270.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/270pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-1360,330.0,pF,50V,,AEC,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/330pf-50v-multilayer-monolithic-ceramic-capacitor.html,MLCC (Multilayer Ceramic Capacitor)
A-6427,330.0,pF,50V,,JB CAPACITORS,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/monolithic-ceramic-capacitor/330-pf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,MLCC (Multilayer Ceramic Capacitor)
