SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-5744,68.0,pF,1000V,5%,WIMA,Radial,th,0.84,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-fkp2-68-pf-1000v-20-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7592,0.68,μF,63V,10%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-68-uf-100v-10-polyester-film-foil-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5743,150.0,pF,63V,20%,WIMA,Radial,th,0.54,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-fkp2-150-pf-63v-20-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5788,0.47,nF,250V,5%,WIMA,Radial,th,0.53,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-47-nf-470pf-250v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-557,1.0,nF,100V,5%,FARATRONIC,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1nf-0-001uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-1531,1.0,nF,100V,5%,WIMA,Radial,th,0.19,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-fks2-100nf-0-001uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7069,1.0,nF,1000V,5%,FARATRONIC,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1nf-1000v-5-double-side-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
A-1987,1000.0,pF,100V,5%,KEMET,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1000pf-100v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-418,1.2,nF,100V,5%,ARCOTRONICS,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-2nf-0-0012uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-699,1.5,nF,100V,5%,ARCOTRONICS,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-5nf-0-0015uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-419,1.8,nF,100V,5%,ARCOTRONICS,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/1-8nf-0-0018uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-558,2.2,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/2-2nf-0-0022uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4413,2200.0,pF,100V,5%,JB Capacitors,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/2-2nf-0-0022uf-100v-5-polyester-film-box-type-capacitor-jfj.html,Polyester (Mylar) Capacitors
A-935,2.2,nF,100V,5%,WIMA,Radial,th,0.27,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-fks2-2.2nf-2200pf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-3905,2.2,nF,1500V,20%,EPCOS(TDK),Radial,th,0.40,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/tdk-mkp-2.2nf-2200pf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
