SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-1606,0.1,μF,35V,,AVX,Radial,th,0.11,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-1uf-35v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-1607,0.1,μF,50V,,AVX,Radial,th,0.11,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-1uf-50v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-412,0.22,μF,50V,,AVX,Radial,th,0.13,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-22uf-50v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-1608,0.33,μF,50V,,AVX,Radial,th,0.13,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-33uf-50v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-5100,0.33,μF,35V,,AVX,Radial,th,0.15,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-33-uf-35v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-415,0.47,μF,35V,,AVX,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-47uf-35v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-5101,0.47,μF,50V,,AVX,Radial,th,0.15,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-47uf-50v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-1610,0.68,μF,50V,,AVX,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/0-68uf-50v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-265,1.0,μF,35V,,AVX,Radial,th,0.13,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/1uf-35v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-622,1.0,μF,50V,,AVX,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/1uf-50v-radial-tantalum-capacitor.html,Tantalum Capacitors
A-6429,1.0,μF,50V,,JB CAPACITORS,Radial,th,0.29,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/1uf-50v-radial-tantalum-capacitor-jta.html,Tantalum Capacitors
A-5222,1.0,μF,25V,20%,ROHM,1206,smt,0.12,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/1-uf-25v-tantalum-chip-capacitor-1206.html,Tantalum Capacitors
A-5099,1.0,μF,16V,,AVX,Radial,th,0.11,https://www.taydaelectronics.com/capacitors/tantalum-capacitors/1uf-16v-radial-tantalum-capacitor.html,Tantalum Capacitors
