Component ID,Description,Supplier Item No,Supplier Link,Footprint Width,Component Height
0ebac386-81af-47cc-8637-79fa869ee839,0.1μF Electrolytic Capacitors (Through Hole) by Various,A-7024,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-1uf-50v-85c-radial-electrolytic-capacitor-5x11mm.html,5mm,11mm
3afc5490-c814-40de-8b8d-29bcb47e71c2,0.1μF Electrolytic Capacitors (Through Hole) by Various,A-4531,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-1uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,5mm,11mm
511ad4e0-77f2-4d3b-bc03-e48c517fe953,0.1μF Electrolytic Capacitors (Through Hole) by Various,A-6359,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-1-uf-50v-105c-aluminum-radial-electrolytic-capacitor-multicomp-pro.html,4mm,7mm
c08ab470-8727-4001-aee5-6b434a02eb9a,0.22μF Electrolytic Capacitors (Through Hole) by Various,A-4512,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-22uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,5mm,11mm
e007277d-8cf2-4f30-aa46-e50e3f1bc285,0.33μF Electrolytic Capacitors (Through Hole) by Various,A-3942,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-33-uf-50v-85c-radial-electrolytic-capacitor.html,5mm,11mm
e51e2f0f-fa1d-4372-91d9-a9701925a650,0.33μF Electrolytic Capacitors (Through Hole) by Various,A-4678,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-33-uf-50v-85c-radial-electrolytic-capacitor-20.html,5mm,11mm
b458774d-3599-488b-a72d-0fd20be87608,0.33μF Electrolytic Capacitors (Through Hole) by Various,A-4679,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-33-uf-50v-105c-radial-electrolytic-capacitor-20-multicomp.html,5mm,11mm
5e4f9d5b-d8b4-419c-bbfa-cc1c68152038,0.47μF Electrolytic Capacitors (Through Hole) by Various,A-1071,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-47uf-50v-105c-jrb-radial-electrolytic-capacitor-5x11mm.html,5mm,11mm
fc1c3a94-766e-42d7-815b-e34c93631e0d,0.47μF Electrolytic Capacitors (Through Hole) by Various,A-4516,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-47uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,5mm,11mm
f04aba4d-b7af-414d-8430-605b28f279e5,10000.0μF Electrolytic Capacitors (Through Hole) by Various,A-2928,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/10000uf-16v-105c-radial-electrolytic-capacitor.html,18mm,35mm
8b45d2b2-1df1-4162-baef-33fd3aca0d7b,1000.0μF Electrolytic Capacitors (Through Hole) by Various,A-4515,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1000uf-10v-105c-radial-electrolytic-capacitor-8x12mm.html,8mm,12mm
