SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-7711,47.0,μF,450V,,Various,Radial,th,0.90,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/47uf-450v-105c-radial-electrolytic-capacitor-15x30mm.html,Electrolytic Capacitors
A-7024,0.1,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-1uf-50v-85c-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-4531,0.1,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-1uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-6359,0.1,μF,50V,,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-1-uf-50v-105c-aluminum-radial-electrolytic-capacitor-multicomp-pro.html,Electrolytic Capacitors
A-4512,0.22,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-22uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-3942,0.33,μF,50V,,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-33-uf-50v-85c-radial-electrolytic-capacitor.html,Electrolytic Capacitors
A-4678,0.33,μF,50V,,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-33-uf-50v-85c-radial-electrolytic-capacitor-20.html,Electrolytic Capacitors
A-4679,0.33,μF,50V,,Various,Radial,th,0.06,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-33-uf-50v-105c-radial-electrolytic-capacitor-20-multicomp.html,Electrolytic Capacitors
A-1071,0.47,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-47uf-50v-105c-jrb-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-4516,0.47,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/0-47uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-957,1.0,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-50v-105c-jrb-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-4505,1.0,μF,50V,,Various,Radial,th,0.02,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-50v-105c-radial-electrolytic-capacitor-5x11mm.html,Electrolytic Capacitors
A-6800,1.0,μF,50V,,Various,Radial,th,0.29,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-50v-85c-aluminum-radial-electrolytic-capacitor-jab.html,Electrolytic Capacitors
A-4179,1.0,μF,50V,,Various,Radial,th,0.15,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/nichicon-1uf-50v-105c-radial-electrolytic-capacitor-5-11mm.html,Electrolytic Capacitors
A-6802,1.0,μF,50V,,Various,Radial,th,0.30,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-50v-105c-aluminum-radial-electrolytic-capacitor-jah.html,Electrolytic Capacitors
A-4507,1.0,μF,100V,,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-100v-85c-radial-electrolytic-capacitor-5x12mm.html,Electrolytic Capacitors
A-1613,1.0,μF,250V,,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-250v-105c-radial-electrolytic-capacitor-6-3x12mm.html,Electrolytic Capacitors
A-2913,1.0,μF,400V,,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/electrolytic-capacitors/1uf-400v-105c-radial-electrolytic-capacitor.html,Electrolytic Capacitors
