SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-1089,1000.0,pF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-001uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4111,1.0,nF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/1nf-0-001uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4112,1.2,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/1-2nf-0-0012uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4100,1.5,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/1-5nf-0-0015uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4850,1.5,nF,400V,5%,AEC,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/1-5-nf-152-400v-5-polyester-mylar-film-capacitors.html,Film Capacitors
A-4101,1.8,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/1-8nf-0-0018uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4102,2.2,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/2-2nf-0-0022uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1084,2.2,nF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/2200pf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4133,2.7,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/2-7nf-0-0027uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4103,3.3,nF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/3-3nf-0-0033uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-980,3300.0,pF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/3300pf-0-0033uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4120,3.9,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/3-9nf-0-0039uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1085,4700.0,pF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-0047uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4104,4.7,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/4-7nf-0-0047uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4121,5.6,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/5-6nf-0-0056uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4105,6.8,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/6-8nf-0-0068uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4122,8.2,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/8-2nf-0-0082uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-978,8.2,nF,100V,5%,JB Capacitors,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/8-2nf-0-0082uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4106,10.0,nF,100V,5%,Various,Radial,th,0.03,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/10nf-0-01uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1078,10.0,nF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/10nf-0-01uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4126,12.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/12nf-0-012uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4128,15.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/15nf-0-015uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-985,15.0,nF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-015uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4113,18.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/18nf-0-018uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4107,22.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/22nf-0-022uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-981,22.0,nF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/22nf-0-022uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4108,27.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/27nf-0-027uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-982,27.0,nF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/27nf-0-027uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-1086,0.033,μF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-033uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4109,33.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/33nf-0-033uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4129,39.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/39nf-0-039uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4130,47.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/47nf-0-047uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1172,47.0,nF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-047uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4131,56.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/56nf-0-056uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4123,68.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/68nf-0-068uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1175,68.0,nF,100V,5%,JB Capacitors,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-068uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4132,82.0,nF,100V,5%,Various,Radial,th,0.04,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/82nf-0-082uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4110,100.0,nF,100V,5%,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-1uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1087,0.1,μF,100V,5%,JB Capacitors,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-1uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4114,120.0,nF,100V,5%,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-12uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-979,120.0,nF,100V,5%,JB Capacitors,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/120nf-0-12uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4134,150.0,nF,100V,5%,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-15uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4135,180.0,nF,100V,5%,Various,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-18uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4124,220.0,nF,100V,5%,Various,Radial,th,0.05,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-22uf-100v-5-mylar-film-capacitors.html,Film Capacitors
