SKU,Ohms,Ohms Unit,Tolerance,Wattage,Price,Link
A-2187,1.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-1-ohm-1w-5-carbon-film-pkg-of-10.html
A-2695,4.7,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/4-7-ohm-1w-5-carbon-film-resistor.html
A-2696,7.5,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/7-5-ohm-1w-5-carbon-film-resistor.html
A-2263,10.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10-x-resistor-10-ohm-1w-5-carbon-film-pkg-of-10.html
A-2457,15.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/15-ohm-1w-5-carbon-film-resistor.html
A-2697,20.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/20-ohm-1w-5-carbon-film-resistor.html
A-2698,22.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/22-ohm-1w-5-carbon-film-resistor.html
A-2699,30.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/30-ohm-1w-5-carbon-film-resistor.html
A-2700,33.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/33-ohm-1w-5-carbon-film-resistor.html
A-2701,39.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/39-ohm-1w-5-carbon-film-resistor.html
A-2702,47.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-47-ohm-1w-5-carbon-film-pkg-of-10.html
A-2703,56.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/56-ohm-1w-5-carbon-film-resistor.html
A-2704,75.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/75-ohm-1w-5-carbon-film-resistor.html
A-2705,91.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/91-ohm-1w-5-carbon-film-resistor.html
A-2186,100.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10-x-resistor-100-ohm-1w-5-carbon-film-pkg-of-10.html
A-2264,150.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/10-x-resistor-150-ohm-1w-5-carbon-film-pkg-of-10.html
A-2706,200.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/200-ohm-1w-5-carbon-film-resistor.html
A-2185,220.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-220-ohm-1w-5-carbon-film-pkg-of-10.html
A-2708,300.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/300-ohm-1w-5-carbon-film-resistor.html
A-2709,330.0,,5%,1W,0.04,https://www.taydaelectronics.com/resistors/1w-carbon-film-resistors/resistor-330-ohm-1w-5-carbon-film-pkg-of-10.html
