SKU,Ohms,Ohms Unit,Tolerance,Wattage,Price,Link,Mounting Style,Size,Category
A-1289,0.1,,1%,1W,0.11,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/resistor-0-1-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2269,1.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/resistor-1-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2270,10.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/resistor-10-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3420,47.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-47-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2271,100.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/resistor-100-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2272,150.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-150-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2273,220.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-220-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3399,250.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-250-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3421,390.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-390-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2274,470.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-470-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3400,500.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-500-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2342,510.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-510-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3422,680.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-680-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3423,820.0,,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-820-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-2196,1.0,K,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/resistor-1k-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3424,1.2,K,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-1-2k-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3404,1.5,K,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-1-5k-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3425,2.0,K,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-2k-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
A-3403,2.2,K,1%,1W,0.05,https://www.taydaelectronics.com/resistors/1w-metal-film-resistors/10-x-resistor-2-2k-ohm-1w-1-metal-film-pkg-of-10.html,th,Axiel,Fixed Resistors
