SKU,Ohms,Ohms Unit,Tolerance,Wattage,Price,Link,Mounting Style,Size,Category
A-3700,0.47,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-0-47-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3701,1.0,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-1-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3702,1.2,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-1-2-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3703,1.3,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-1-3-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3704,1.5,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-1-5-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3705,1.6,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-1-6-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3706,1.8,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-1-8-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3707,2.0,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-2-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3708,2.2,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/4435-dup-r-2-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3709,2.4,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/93726-dup-r-2-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3710,2.7,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/31420-dup-r-1-8-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3711,3.0,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-3-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3712,3.3,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/18163-dup-r-1-8-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3713,3.6,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/r-3-6-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
A-3714,3.9,,1%,1/8W,0.012,https://www.taydaelectronics.com/resistors/1-8w-metal-film-resistors/25644-dup-r-1-8-ohm-1-8w-1-metal-film-resistor.html,th,Axial,Fixed Resistors
