SKU,Size,Mounting Style,Category,Manufacturer,Price,Link
A-2571,TO-92,th,BJTs,ON SEMICONDUCTOR,0.10,https://www.taydaelectronics.com/t-transistors/bc549-bc549c-transistor-npn-30v-0-1a-on-semiconductor-to-92.html
A-4859,TO-220,th,BJTs,ST MICROELECTRONICS,0.89,https://www.taydaelectronics.com/t-transistors/tip50-bipolar-transistor-npn-400v-1a-to-220.html
A-4865,SOT-23,smt,MOSFETs,Fairchild/ON Semiconductor,0.20,https://www.taydaelectronics.com/t-transistors/mmbfj202-jfet-n-channel-amplifier-transistor-sot-23.html
A-4866,SOT-23,smt,MOSFETs,ON Semiconductor,0.18,https://www.taydaelectronics.com/t-transistors/mmbfj270-jfet-p-channel-transistor-j270-smd-sot-23.html
A-4867,SOT-23,smt,MOSFETs,ON Semiconductor,0.45,https://www.taydaelectronics.com/t-transistors/mmbfj176-jfet-p-channel-transistor-j176-smd-sot-23.html
A-4868,TO-92,th,MOSFETs,ON Semiconductor,0.29,https://www.taydaelectronics.com/t-transistors/j176-d74z-jfet-p-channel-transistor-j176-to-92.html
A-4869,TO-92,th,MOSFETs,ON Semiconductor,0.36,https://www.taydaelectronics.com/t-transistors/j175-d26z-jfet-p-channel-transistor-to-92.html
A-5383,SOT-23,smt,BJTs,ON SEMICONDUCTOR,0.05,https://www.taydaelectronics.com/t-transistors/mmbt5401l-transistor-pnp-150v-0-5a-sot-23-3.html
A-5763,SOT-23,smt,MOSFETs,NEXPERIA,0.30,https://www.taydaelectronics.com/t-transistors/pmv48xpa2r-mosfet-p-channel-43mohm-20v-4a-sot-23.html
A-6149,SOT-23,smt,BJTs,ONSEMI / FAIRCHILD,0.13,https://www.taydaelectronics.com/t-transistors/2sc4213-2sc4213-a-transistor-npn-20v-0-3-a-sot-323.html
A-6150,TO-92,th,BJTs,KEC,0.09,https://www.taydaelectronics.com/t-transistors/ktc9012g-transistor-pnp-30v-0-5-a-sot-23.html
A-6151,TO-92,th,BJTs,KEC,0.08,https://www.taydaelectronics.com/t-transistors/krc245-transistor-npn-15v-0-8-a-to-92.html
A-6515,TO-92,th,MOSFETs,MICROCHIP,1.49,https://www.taydaelectronics.com/t-transistors/dn2540-n-channel-dmos-fets-to-92.html
A-6974,SOT-23,smt,MOSFETs,ON Semiconductor,0.28,https://www.taydaelectronics.com/t-transistors/mmbfj309-jfet-n-channel-transistor-j309-smd-sot-23.html
A-6975,SOT-23,smt,MOSFETs,ON Semiconductor,0.46,https://www.taydaelectronics.com/t-transistors/mmbfj108-jfet-n-channel-transistor-j108-smd-sot-23.html
A-6979,TO-92,th,BJTs,ON SEMICONDUCTOR,0.13,https://www.taydaelectronics.com/t-transistors/bc546-transistor-npn-65v-0-1a-to-92-bc546c.html
A-7034,TO-92,th,MOSFETs,ON SEMICONDUCTOR,0.34,https://www.taydaelectronics.com/t-transistors/j109-jfet-n-channel-transistor-to-92.html
A-7035,TO-92,th,MOSFETs,ON SEMICONDUCTOR,0.30,https://www.taydaelectronics.com/t-transistors/j113-jfet-n-channel-transistor-to-92.html
A-7036,SOT-23,smt,BJTs,ON Semiconductor,0.07,https://www.taydaelectronics.com/t-transistors/mmbt5551l-bipolar-transistor-smd-sot-23.html
A-7055,SOT-23,smt,BJTs,ON Semiconductor,0.09,https://www.taydaelectronics.com/t-transistors/mmbta42l-npn-transistor-smd-sot-23.html
A-7604,TO-18,th,BJTs,MULTICOMP PRO,1.09,https://www.taydaelectronics.com/t-transistors/2n2484-bipolar-single-transistor-60v-50ma-to-18.html
A-113,TO-18,th,BJTs,SGS THOMSON/CDIL,0.46,https://www.taydaelectronics.com/t-transistors/2n2222a-2n2222-npn-transistor-0-8a-40v-to-18.html
A-115,TO-18,th,BJTs,CDIL,0.42,https://www.taydaelectronics.com/t-transistors/2n2907a-2n2907-pnp-transistor-60v-0-6a-to-18.html
A-1332,TO-92,th,BJTs,KEC/FAIRCHILD,0.09,https://www.taydaelectronics.com/t-transistors/bc517-transistor-npn-30v-1.2a-to-92-bc517-at-p.html
A-1333,TO-92,th,BJTs,PHILIPS/NXP/KEC,0.03,https://www.taydaelectronics.com/t-transistors/bc546-transistor-npn-65v-0-1a-to-92-bc546b-126.html
A-1334,TO-92,th,BJTs,KEC,0.03,https://www.taydaelectronics.com/t-transistors/bc557-transistor-pnp-45v-0-1a-to-92-bc557b-kec-p.html
A-1335,TO-92,th,BJTs,Fairchild,0.05,https://www.taydaelectronics.com/t-transistors/bc640-transistor-pnp-80v-1a-to-92-bc640-126.html
A-1336,SOT-23,smt,BJTs,PHILIPS/NXP,0.03,https://www.taydaelectronics.com/t-transistors/bc807-transistor-pnp-45v-0-5a-sot-23-3-bc807-25-215.html
A-1339,SOT-23,smt,BJTs,PHILIPS/NXP,0.029,https://www.taydaelectronics.com/t-transistors/bc847-transistor-npn-45v-0-1a-sot-23-3-bc847b-215.html
A-1342,SOT-23,smt,BJTs,PHILIPS/NXP,0.03,https://www.taydaelectronics.com/t-transistors/bc849-transistor-npn-30v-0-1a-sot-23-bc849c-215.html
A-1345,SOT-23,smt,BJTs,PHILIPS/NXP,0.02,https://www.taydaelectronics.com/t-transistors/bc857-transistor-pnp-45v-0-1a-sot-23-3-bc857b-215.html
A-1433,SOT-23,smt,MOSFETs,ON SEMICONDUCTOR,0.08,https://www.taydaelectronics.com/t-transistors/2n7002-mosfet-7-5-ohm-115ma-60v-n-channel-sot-23-3-2n7002lt1g.html
A-1452,TO-220,th,MOSFETs,IR,1.50,https://www.taydaelectronics.com/t-transistors/irl2203-mosfet-7m-ohm-116a-30v-n-channel-to-220-3-irl2203npbf.html
A-1463,TO-220,th,MOSFETs,SGS,0.59,https://www.taydaelectronics.com/t-transistors/stp55nf06-mosfet-18-mohm-50a-60v-n-channel-to-220-3-stp55nf06.html
A-1464,TO-220,th,MOSFETs,SGS,0.99,https://www.taydaelectronics.com/t-transistors/stp65nf06-mosfet-14-mohm-60a-60v-n-channel-to-220-3-stp65nf06.html
A-1466,TO-220,th,MOSFETs,SGS,0.75,https://www.taydaelectronics.com/t-transistors/stp80nf55-mosfet-8-mohm-80a-55v-n-channel-to-220-3-stp80nf55-08.html
A-1467,TO-92,th,MOSFETs,ON SEMICONDUCTOR/MOTOROLA,0.23,https://www.taydaelectronics.com/t-transistors/vn2222-mosfet-7-5-ohm-150ma-60v-n-channel-to-92-3-vn2222llrlrag.html
A-1302,TO-3P,th,BJTs,SANKEN,2.12,https://www.taydaelectronics.com/t-transistors/2sa1492-transistor-pnp-180v-15a-to-3p-3-2sa1492p.html
A-1309,TO-92,th,BJTs,TOSHIBA,0.10,https://www.taydaelectronics.com/t-transistors/2sc2668-transistor-npn-30v-0-02a-to-92-2sc2668y-f.html
A-1313,TO-92,th,BJTs,NEC,0.18,https://www.taydaelectronics.com/t-transistors/2sc3355-transistor-npn-12v-0-1a-to-92-2sc3355.html
DEL-A-1314,TO-126,th,BJTs,SANYO,0.16,https://www.taydaelectronics.com/t-transistors/2sc3807-transistor-npn-25v-2a-to-126-2sc3807.html
A-1318,TO-92,th,BJTs,HITACHI,0.07,https://www.taydaelectronics.com/t-transistors/2sc458-transistor-npn-30v-0-1a-to-92-2sc458d.html
A-1321,TO-92,th,BJTs,UTC,0.14,https://www.taydaelectronics.com/t-transistors/2sd1857-transistor-npn-120v-2a-to-92-2sd1857l.html
A-1323,TO-220,th,BJTs,UTC,0.27,https://www.taydaelectronics.com/t-transistors/2sd313-transistor-npn-60v-3a-to-220-3-2sd313l.html
A-1325,TO-126,th,BJTs,NEC/UTC,0.15,https://www.taydaelectronics.com/t-transistors/2sd882-transistor-npn-30v-3a-to-126-2sd882azp.html
A-1326,TO-126,th,BJTs,UTC,0.14,https://www.taydaelectronics.com/t-transistors/2sd882-transistor-npn-30v-3a-to-126-2sd882l-p-t60-k.html
A-1327,TO-92,th,BJTs,UTC,0.14,https://www.taydaelectronics.com/t-transistors/2sd882-transistor-npn-30v-3a-to-92-2sd882sl-p-t92-k.html
A-1328,SOT-23,smt,BJTs,UTC,0.04,https://www.taydaelectronics.com/t-transistors/8050sl-transistor-npn-20v-0-7a-sot-23-3-8050sl.html
A-1329,TO-92,th,BJTs,UTC,0.04,https://www.taydaelectronics.com/t-transistors/8050sl-transistor-npn-20v-0-7a-to-92-8050sl-d.html
A-1330,SOT-23,smt,BJTs,UTC,0.03,https://www.taydaelectronics.com/t-transistors/8550sl-transistor-pnp-20v-0-7a-sot-23-3-8550sl.html
A-1331,TO-92,th,BJTs,UTC,0.02,https://www.taydaelectronics.com/t-transistors/s8550l-transistor-pnp-20v-0-7a-to-92-8550sl-d.html
A-1337,SOT-23,smt,BJTs,PHILIPS/NXP,0.02,https://www.taydaelectronics.com/t-transistors/bc817-transistor-npn-45v-0-5a-sot-23-3-bc817-25-215.html
A-1338,SOT-23,smt,BJTs,FAIRCHILD,0.04,https://www.taydaelectronics.com/t-transistors/bc846-transistor-npn-65v-0-1a-sot-23-3-bc846bmtf.html
A-1340,SOT-23,smt,BJTs,PHILIPS/NXP,0.02,https://www.taydaelectronics.com/t-transistors/bc847-transistor-npn-45v-0-1a-sot-23-3-bc847c-215.html
A-1343,SOT-23,smt,BJTs,PHILIPS/NXP,0.04,https://www.taydaelectronics.com/t-transistors/bc856-transistor-pnp-65v-0-1a-sot-23-3-bc856b-215.html
A-1344,SOT-23,smt,BJTs,FAIRCHILD,0.02,https://www.taydaelectronics.com/t-transistors/bc856-transistor-pnp-65v-0-1a-sot-23-3-bc856bmtf.html
A-1346,SOT-223,smt,BJTs,ON SEMICONDUCTOR,0.14,https://www.taydaelectronics.com/t-transistors/bcp53-transistor-pnp-80v-1-5a-sot-223-3-bcp53t1g.html
A-1347,SOT-223,smt,BJTs,ON SEMICONDUCTOR,0.14,https://www.taydaelectronics.com/t-transistors/bcp56-transistor-npn-80v-1a-sot-223-3-bcp56t1g.html
A-1348,SOT-23,smt,BJTs,PHILIPS/NXP,0.03,https://www.taydaelectronics.com/t-transistors/bcw30-transistor-pnp-32v-0-1a-sot-23-3-bcw30-215.html
